left_strategy,right_strategy,left_payoff,right_payoff,is_left_best,is_right_best,is_nash
"(-1.0, -1.0, -1.0)","(-0.5, -0.5, -0.5)",0.0,3.0,0,1,0
"(-1.0, -1.0, -1.0)","(-0.5, -0.5, 0.0)",0.0,3.0,0,1,0
"(-1.0, -1.0, -1.0)","(-0.5, -0.5, 0.5)",0.0,3.0,0,1,0
"(-1.0, -1.0, -1.0)","(-0.5, -0.5, 1.0)",0.0,3.0,0,1,0
"(-1.0, -1.0, -1.0)","(-0.5, 0.0, 0.0)",0.5,2.5,0,0,0
"(-1.0, -1.0, -1.0)","(-0.5, 0.0, 0.5)",0.0,3.0,0,1,0
"(-1.0, -1.0, -1.0)","(-0.5, 0.0, 1.0)",0.5,2.5,0,0,0
"(-1.0, -1.0, -1.0)","(-0.5, 0.5, 0.5)",0.0,3.0,0,1,0
"(-1.0, -1.0, -1.0)","(-0.5, 0.5, 1.0)",0.5,2.5,0,0,0
"(-1.0, -1.0, -1.0)","(-0.5, 1.0, 1.0)",1.0,2.0,0,0,0
"(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.0)",1.0,2.0,0,0,0
"(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.5)",0.0,3.0,0,1,0
"(-1.0, -1.0, -1.0)","(0.0, 0.0, 1.0)",1.0,2.0,0,0,0
"(-1.0, -1.0, -1.0)","(0.0, 0.5, 0.5)",1.0,2.0,0,0,0
"(-1.0, -1.0, -1.0)","(0.0, 0.5, 1.0)",1.0,2.0,0,0,0
"(-1.0, -1.0, -1.0)","(0.0, 1.0, 1.0)",1.0,2.0,0,0,0
"(-1.0, -1.0, -1.0)","(0.5, 0.5, 0.5)",1.0,2.0,0,0,0
"(-1.0, -1.0, -1.0)","(0.5, 0.5, 1.0)",1.0,2.0,0,0,0
"(-1.0, -1.0, -1.0)","(0.5, 1.0, 1.0)",1.0,2.0,0,0,0
"(-1.0, -1.0, -1.0)","(1.0, 1.0, 1.0)",1.5,1.5,0,0,0
"(-1.0, -1.0, -0.5)","(-0.5, -0.5, -0.5)",0.75,2.25,0,0,0
"(-1.0, -1.0, -0.5)","(-0.5, -0.5, 0.0)",0.6666666666666666,2.3333333333333335,0,0,0
"(-1.0, -1.0, -0.5)","(-0.5, -0.5, 0.5)",0.6666666666666666,2.3333333333333335,0,0,0
"(-1.0, -1.0, -0.5)","(-0.5, -0.5, 1.0)",0.6666666666666666,2.3333333333333335,0,0,0
"(-1.0, -1.0, -0.5)","(-0.5, 0.0, 0.0)",0.75,2.25,0,0,0
"(-1.0, -1.0, -0.5)","(-0.5, 0.0, 0.5)",0.5,2.5,0,1,0
"(-1.0, -1.0, -0.5)","(-0.5, 0.0, 1.0)",0.75,2.25,0,0,0
"(-1.0, -1.0, -0.5)","(-0.5, 0.5, 0.5)",0.5,2.5,0,1,0
"(-1.0, -1.0, -0.5)","(-0.5, 0.5, 1.0)",1.0,2.0,0,0,0
"(-1.0, -1.0, -0.5)","(-0.5, 1.0, 1.0)",1.2,1.8,0,0,0
"(-1.0, -1.0, -0.5)","(0.0, 0.0, 0.0)",1.0,2.0,0,0,0
"(-1.0, -1.0, -0.5)","(0.0, 0.0, 0.5)",0.5,2.5,0,1,0
